frame_index,shape,color_mask,cx,cy,area
44,quadrilateral,red,363,237,29883
44,circle,yellow,274,543,32996
44,triangle,blue,610,719,20928
44,pentagon,magenta,1364,769,36396
45,quadrilateral,red,363,237,29910
45,circle,yellow,272,518,33021
45,triangle,blue,611,719,20943
45,pentagon,magenta,1364,768,36424
46,quadrilateral,red,363,237,29910
46,circle,yellow,272,493,33017
46,triangle,blue,611,719,20963
46,pentagon,magenta,1364,768,36425
47,quadrilateral,red,362,237,29965
47,circle,yellow,272,468,33032
47,triangle,blue,611,719,20986
47,pentagon,magenta,1364,768,36436
47,quadrilateral,bright_green,1912,747,810
48,quadrilateral,red,362,237,29965
48,circle,yellow,272,443,33017
48,triangle,blue,611,719,21071
48,pentagon,magenta,1364,768,36523
48,quadrilateral,bright_green,1910,778,1348
49,pentagon,red,363,234,29102
49,circle,yellow,271,419,32962
49,triangle,blue,612,719,21084
49,pentagon,magenta,1364,768,36500
49,quadrilateral,bright_green,1908,810,1819
50,pentagon,red,365,231,27583
50,circle,yellow,271,394,32989
50,triangle,blue,612,718,20745
50,pentagon,magenta,1364,767,36281
50,quadrilateral,bright_green,1908,848,1847
51,pentagon,red,368,227,26088
51,circle,yellow,266,369,32967
51,triangle,blue,612,718,20817
51,pentagon,magenta,1364,766,36339
51,quadrilateral,bright_green,1908,885,1915
52,polygon,red,369,225,25046
52,circle,yellow,257,345,32945
52,triangle,blue,613,718,20884
52,pentagon,magenta,1364,766,36360
52,quadrilateral,bright_green,1909,926,1645
53,polygon,red,370,227,25161
53,circle,yellow,242,321,32963
53,triangle,blue,613,718,20891
53,pentagon,magenta,1364,766,36397
53,quadrilateral,bright_green,1911,971,1112
54,polygon,red,367,231,26387
54,circle,yellow,223,299,32938
54,triangle,blue,613,718,20876
54,pentagon,magenta,1364,766,36469
54,quadrilateral,bright_green,1899,954,4784
55,pentagon,red,362,236,28806
55,circle,yellow,202,277,32997
55,triangle,blue,613,717,20980
55,pentagon,magenta,1364,766,36492
55,pentagon,bright_green,1894,913,6259
56,quadrilateral,red,359,238,30005
56,circle,yellow,164,273,32992
56,triangle,blue,614,717,21047
56,pentagon,magenta,1364,764,36259
56,quadrilateral,bright_green,1891,875,7215
57,quadrilateral,red,359,238,30005
57,circle,yellow,131,289,32995
57,triangle,blue,614,717,21088
57,pentagon,magenta,1364,764,36323
57,quadrilateral,bright_green,1886,834,8853
58,quadrilateral,red,357,238,29997
58,circle,yellow,113,311,32949
58,triangle,blue,615,716,20757
58,pentagon,magenta,1364,764,36388
58,quadrilateral,bright_green,1880,798,10385
59,quadrilateral,red,357,238,30010
59,circle,yellow,99,335,32957
59,triangle,blue,615,716,20791
59,pentagon,magenta,1364,764,36479
59,quadrilateral,bright_green,1874,759,11937
60,quadrilateral,red,357,238,29996
60,circle,yellow,89,359,32012
60,triangle,blue,615,716,20851
60,pentagon,magenta,1364,762,36284
60,quadrilateral,bright_green,1868,721,13561
61,quadrilateral,red,355,239,29932
61,circle,yellow,81,383,30580
61,triangle,blue,616,715,20942
61,pentagon,magenta,1364,762,36361
61,quadrilateral,bright_green,1862,682,15198
62,quadrilateral,red,355,239,29928
62,circle,yellow,76,407,29189
62,triangle,blue,616,715,21019
62,pentagon,magenta,1364,762,36410
62,quadrilateral,bright_green,1858,646,16465
63,quadrilateral,red,355,239,29929
63,circle,yellow,71,431,27784
63,triangle,blue,617,715,21090
63,pentagon,magenta,1364,762,36524
63,quadrilateral,bright_green,1852,608,17962
64,quadrilateral,red,354,239,30038
64,circle,yellow,66,456,26309
64,triangle,blue,617,714,20702
64,pentagon,magenta,1364,761,36322
64,quadrilateral,bright_green,1847,570,19293
65,quadrilateral,red,354,239,30026
65,circle,yellow,62,480,24919
65,triangle,blue,617,714,20806
65,pentagon,magenta,1364,760,36402
65,quadrilateral,bright_green,1842,532,20642
66,quadrilateral,red,353,239,29940
66,circle,yellow,60,505,23851
66,triangle,blue,618,714,20845
66,pentagon,magenta,1364,760,36542
66,quadrilateral,bright_green,1837,494,22057
67,quadrilateral,red,352,239,30003
67,circle,yellow,57,530,22811
67,triangle,blue,618,713,20962
67,pentagon,magenta,1364,759,36331
67,quadrilateral,bright_green,1832,457,23572
68,quadrilateral,red,351,240,29968
68,circle,yellow,54,554,21693
68,triangle,blue,619,713,21014
68,pentagon,magenta,1364,758,36395
68,quadrilateral,bright_green,1827,419,24913
69,quadrilateral,red,351,240,29967
69,circle,yellow,51,579,20535
69,triangle,blue,619,712,20741
69,pentagon,magenta,1363,758,36424
69,quadrilateral,bright_green,1821,382,25952
70,quadrilateral,red,349,240,30018
70,polygon,yellow,49,604,19475
70,triangle,blue,620,712,20784
70,pentagon,magenta,1363,758,36465
70,quadrilateral,bright_green,1814,345,26483
71,quadrilateral,red,349,240,29962
71,polygon,yellow,46,628,18309
71,triangle,blue,620,712,20917
71,pentagon,magenta,1363,756,36346
71,quadrilateral,bright_green,1806,307,26923
72,quadrilateral,red,348,240,30047
72,polygon,yellow,44,653,17155
72,triangle,blue,621,711,20962
72,pentagon,magenta,1363,756,36410
72,quadrilateral,bright_green,1797,269,26997
73,quadrilateral,red,347,240,29930
73,pentagon,yellow,46,678,18218
73,triangle,blue,622,711,21097
73,pentagon,magenta,1363,756,36480
73,quadrilateral,bright_green,1788,233,27033
74,quadrilateral,red,346,241,30028
74,polygon,yellow,49,702,19354
74,triangle,blue,622,710,20777
74,pentagon,magenta,1363,754,36317
74,quadrilateral,bright_green,1779,209,26795
75,quadrilateral,red,346,241,30037
75,circle,yellow,51,727,20512
75,triangle,blue,623,710,20866
75,pentagon,magenta,1363,754,36438
75,pentagon,bright_green,1771,247,26932
76,quadrilateral,red,345,241,29933
76,circle,yellow,54,752,21738
76,triangle,blue,623,709,20959
76,pentagon,magenta,1363,753,36207
76,quadrilateral,bright_green,1763,284,26965
77,quadrilateral,red,343,241,30050
77,circle,yellow,57,776,22897
77,triangle,blue,624,709,21052
77,pentagon,magenta,1363,752,36338
77,quadrilateral,bright_green,1755,323,26934
78,quadrilateral,red,343,242,29986
78,circle,yellow,61,801,24431
78,triangle,blue,625,708,20784
78,circle,magenta,1363,752,36477
78,quadrilateral,bright_green,1747,361,27003
79,quadrilateral,red,341,242,30017
79,circle,yellow,68,824,27056
79,triangle,blue,625,708,20872
79,pentagon,magenta,1363,750,36349
79,quadrilateral,bright_green,1738,397,27001
80,quadrilateral,red,341,242,29988
80,circle,yellow,81,846,30522
80,triangle,blue,626,707,20956
80,pentagon,magenta,1363,750,36517
80,quadrilateral,bright_green,1730,435,26845
81,quadrilateral,red,339,243,29998
81,circle,yellow,103,865,32960
81,triangle,blue,627,706,20690
81,pentagon,magenta,1362,749,36378
81,quadrilateral,bright_green,1723,473,26803
82,quadrilateral,red,339,243,30061
82,circle,yellow,141,877,32955
82,triangle,blue,627,706,20827
82,pentagon,magenta,1362,748,36461
82,quadrilateral,bright_green,1717,511,26686
83,quadrilateral,red,337,243,30016
83,circle,yellow,183,877,32954
83,triangle,blue,628,705,20897
83,pentagon,magenta,1362,747,36274
83,quadrilateral,bright_green,1711,549,26854
84,quadrilateral,red,337,244,30026
84,circle,yellow,224,868,33031
84,triangle,blue,629,705,21047
84,pentagon,magenta,1362,746,36388
84,quadrilateral,bright_green,1705,587,26918
85,quadrilateral,red,335,244,29996
85,circle,yellow,264,857,32999
85,triangle,blue,630,704,20750
85,pentagon,magenta,1362,745,36244
85,quadrilateral,bright_green,1699,624,26826
86,quadrilateral,red,335,244,30015
86,circle,yellow,301,844,32996
86,triangle,blue,630,703,20894
86,pentagon,magenta,1362,744,36350
86,quadrilateral,bright_green,1693,663,26951
87,quadrilateral,red,333,245,30006
87,circle,yellow,334,827,32993
87,triangle,blue,631,703,21027
87,pentagon,magenta,1362,743,36205
87,quadrilateral,bright_green,1686,701,26925
88,quadrilateral,red,331,245,29934
88,circle,yellow,361,808,33005
88,triangle,blue,632,702,20713
88,pentagon,magenta,1362,742,36357
88,quadrilateral,bright_green,1683,739,26961
89,quadrilateral,red,331,246,29975
89,circle,yellow,382,786,33034
89,triangle,blue,633,701,20866
89,pentagon,magenta,1362,741,36276
89,quadrilateral,bright_green,1680,777,26826
90,quadrilateral,red,329,246,29980
90,circle,yellow,398,763,33000
90,triangle,blue,634,701,21044
90,pentagon,magenta,1362,740,36533
90,quadrilateral,bright_green,1677,815,26769
91,quadrilateral,red,329,246,30004
91,circle,yellow,412,739,33003
91,triangle,blue,635,700,20768
91,pentagon,magenta,1362,739,36393
91,quadrilateral,bright_green,1674,853,27024
92,quadrilateral,red,327,247,30023
92,circle,yellow,425,716,33002
92,triangle,blue,636,699,20922
92,pentagon,magenta,1361,738,36484
92,quadrilateral,bright_green,1672,891,26928
93,quadrilateral,red,325,247,29993
93,circle,yellow,438,692,33031
93,triangle,blue,636,699,21103
93,pentagon,magenta,1361,736,36375
93,quadrilateral,bright_green,1670,929,26724
94,quadrilateral,red,325,248,30018
94,circle,yellow,443,667,32973
94,triangle,blue,637,698,20881
94,pentagon,magenta,1361,736,36468
94,quadrilateral,bright_green,1667,967,26862
95,quadrilateral,red,323,248,30003
95,circle,yellow,444,642,33046
95,triangle,blue,638,697,21007
95,pentagon,magenta,1361,734,36330
95,quadrilateral,bright_green,1659,975,26877
96,quadrilateral,red,322,249,30043
96,circle,yellow,446,618,33058
96,triangle,blue,639,696,20766
96,pentagon,magenta,1361,733,36185
96,quadrilateral,bright_green,1651,937,26788
97,quadrilateral,red,321,249,29990
97,circle,yellow,447,593,32997
97,triangle,blue,640,695,20917
97,pentagon,magenta,1361,732,36418
97,quadrilateral,bright_green,1643,899,26736
98,quadrilateral,red,319,250,29999
98,circle,yellow,449,568,32996
98,triangle,blue,641,694,20692
98,pentagon,magenta,1361,730,36413
98,quadrilateral,bright_green,1635,863,26866
99,quadrilateral,red,318,250,30016
99,circle,yellow,450,543,32995
99,triangle,blue,642,694,20879
99,pentagon,magenta,1360,730,36529
99,quadrilateral,bright_green,1627,824,27015
100,quadrilateral,red,317,251,30007
100,circle,yellow,452,518,33025
100,triangle,blue,643,693,21088
100,pentagon,magenta,1360,728,36388
100,quadrilateral,bright_green,1621,787,26979
101,quadrilateral,red,315,251,30039
101,circle,yellow,453,493,32966
101,triangle,blue,644,691,20865
101,pentagon,magenta,1360,726,36352
101,quadrilateral,bright_green,1617,749,27066
102,quadrilateral,red,314,252,30041
102,circle,yellow,454,468,33024
102,triangle,blue,645,691,21034
102,pentagon,magenta,1360,725,36182
102,quadrilateral,bright_green,1612,711,27008
103,quadrilateral,red,312,253,30038
103,circle,yellow,454,444,33036
103,triangle,blue,646,690,20845
103,pentagon,magenta,1360,724,36457
103,quadrilateral,bright_green,1607,673,26741
104,quadrilateral,red,310,253,29972
104,circle,yellow,455,419,32961
104,triangle,blue,647,689,21005
104,pentagon,magenta,1359,722,36330
104,quadrilateral,bright_green,1602,635,26871
105,pentagon,red,308,253,29631
105,circle,yellow,456,394,33022
105,triangle,blue,648,688,20803
105,pentagon,magenta,1359,721,36207
105,quadrilateral,bright_green,1596,597,26791
106,pentagon,red,306,252,29134
106,circle,yellow,457,369,32956
106,triangle,blue,650,687,21002
106,pentagon,magenta,1359,720,36464
106,quadrilateral,bright_green,1590,559,26790
107,quadrilateral,red,303,252,28932
107,circle,yellow,459,344,32988
107,triangle,blue,651,686,20776
107,pentagon,magenta,1359,718,36439
107,quadrilateral,bright_green,1584,521,26964
108,quadrilateral,red,304,255,29732
108,circle,yellow,472,321,33009
108,triangle,blue,652,685,20985
108,pentagon,magenta,1358,716,36331
108,quadrilateral,bright_green,1578,483,26898
109,quadrilateral,red,303,257,30058
109,circle,yellow,502,303,33021
109,triangle,blue,653,684,20789
109,pentagon,magenta,1358,715,36226
109,quadrilateral,bright_green,1572,445,26790
110,quadrilateral,red,301,257,30060
110,circle,yellow,544,295,33004
110,triangle,blue,654,683,21046
110,pentagon,magenta,1358,714,36465
110,quadrilateral,bright_green,1566,407,26768
111,quadrilateral,red,300,258,29999
111,circle,yellow,587,292,33000
111,triangle,blue,656,681,20867
111,pentagon,magenta,1358,712,36553
111,quadrilateral,bright_green,1556,369,26873
112,quadrilateral,red,298,259,29993
112,circle,yellow,628,301,32997
112,triangle,blue,657,681,21071
112,pentagon,magenta,1357,710,36360
112,quadrilateral,bright_green,1548,331,26931
113,quadrilateral,red,297,260,29983
113,circle,yellow,662,316,33035
113,triangle,blue,658,679,20873
113,pentagon,magenta,1357,708,36302
113,quadrilateral,bright_green,1535,295,26929
114,quadrilateral,red,295,261,29989
114,circle,yellow,681,339,32994
114,triangle,blue,659,678,20777
114,pentagon,magenta,1357,706,36386
114,quadrilateral,bright_green,1521,257,26983
115,quadrilateral,red,293,262,30003
115,circle,yellow,694,362,33052
115,triangle,blue,661,677,20950
115,pentagon,magenta,1356,705,36302
115,quadrilateral,bright_green,1503,221,27018
116,quadrilateral,red,292,263,29981
116,circle,yellow,706,386,33030
116,triangle,blue,662,676,20757
116,pentagon,magenta,1356,703,36265
116,quadrilateral,bright_green,1486,234,26939
117,quadrilateral,red,290,264,30036
117,circle,yellow,713,411,32953
117,triangle,blue,663,675,21062
117,pentagon,magenta,1355,702,36496
117,quadrilateral,bright_green,1476,272,27017
118,quadrilateral,red,289,265,30022
118,circle,yellow,720,435,32994
118,triangle,blue,665,674,20861
118,pentagon,magenta,1354,700,36551
118,pentagon,bright_green,1469,309,26991
119,quadrilateral,red,286,266,30062
119,circle,yellow,726,460,33016
119,triangle,blue,666,672,20730
119,pentagon,magenta,1354,698,36481
119,pentagon,bright_green,1462,347,27012
120,quadrilateral,red,285,267,30001
120,circle,yellow,729,485,32963
120,quadrilateral,blue,667,674,20532
120,pentagon,magenta,1353,696,36480
120,quadrilateral,bright_green,1455,385,26944
121,quadrilateral,red,284,268,29984
121,circle,yellow,732,510,33011
121,quadrilateral,blue,668,677,19233
121,pentagon,magenta,1353,694,36486
121,quadrilateral,bright_green,1449,423,26874
122,quadrilateral,red,282,269,30047
122,circle,yellow,735,534,32942
122,quadrilateral,blue,668,682,17328
122,pentagon,magenta,1352,692,36398
122,quadrilateral,bright_green,1441,461,26841
123,quadrilateral,red,280,271,30116
123,circle,yellow,738,559,32972
123,pentagon,blue,666,689,15330
123,pentagon,magenta,1351,690,36328
123,quadrilateral,bright_green,1436,499,26996
124,quadrilateral,red,279,272,30009
124,circle,yellow,740,584,32982
124,pentagon,blue,661,693,12456
124,pentagon,magenta,1350,688,36305
124,polygon,bright_green,1445,533,24893
125,quadrilateral,red,277,273,29936
125,circle,yellow,743,609,32884
125,quadrilateral,blue,647,693,9268
125,pentagon,magenta,1349,686,36225
125,pentagon,bright_green,1454,565,20921
126,quadrilateral,red,275,274,29893
126,circle,yellow,742,634,32957
126,quadrilateral,blue,625,687,6143
126,pentagon,magenta,1348,684,36247
126,pentagon,bright_green,1464,598,15955
127,quadrilateral,red,275,276,30012
127,circle,yellow,736,658,32946
127,polygon,blue,628,659,5987
127,pentagon,magenta,1347,682,36299
127,pentagon,bright_green,1480,644,11752
128,quadrilateral,red,273,277,30134
128,circle,yellow,731,683,32928
128,pentagon,blue,636,639,6347
128,pentagon,magenta,1346,680,36356
128,pentagon,bright_green,1484,694,10119
129,quadrilateral,red,271,278,30016
129,circle,yellow,726,708,32999
129,pentagon,blue,647,628,7627
129,pentagon,magenta,1345,678,36397
129,pentagon,bright_green,1466,739,12065
130,quadrilateral,red,269,280,29943
130,circle,yellow,721,732,32949
130,pentagon,blue,656,625,9690
130,pentagon,magenta,1344,676,36353
130,polygon,bright_green,1432,781,17250
131,quadrilateral,red,267,281,30047
131,circle,yellow,716,757,32958
131,pentagon,blue,665,630,12544
131,pentagon,magenta,1343,674,36382
131,polygon,bright_green,1411,814,22033
132,quadrilateral,red,266,282,30039
132,circle,yellow,712,782,32998
132,pentagon,blue,674,639,16134
132,pentagon,magenta,1342,671,36162
132,quadrilateral,bright_green,1395,843,26193
133,quadrilateral,red,264,284,30040
133,circle,yellow,708,807,32998
133,quadrilateral,blue,683,648,19795
133,pentagon,magenta,1341,669,36290
133,quadrilateral,bright_green,1386,877,26998
134,quadrilateral,red,263,285,30041
134,circle,yellow,704,831,32989
134,triangle,blue,686,649,20881
134,pentagon,magenta,1339,666,36413
134,quadrilateral,bright_green,1374,915,27085
135,quadrilateral,red,261,287,29938
135,circle,yellow,700,856,33021
135,triangle,blue,687,648,20821
135,pentagon,magenta,1338,664,36306
135,quadrilateral,bright_green,1360,953,26846
136,quadrilateral,red,259,288,29987
136,circle,yellow,701,881,32971
136,triangle,blue,689,646,20766
136,pentagon,magenta,1337,662,36320
136,quadrilateral,bright_green,1344,939,27138
137,quadrilateral,red,257,290,29975
137,circle,yellow,711,905,32982
137,triangle,blue,690,644,20718
137,pentagon,magenta,1336,660,36507
137,pentagon,bright_green,1328,903,27068
138,quadrilateral,red,257,292,30022
138,circle,yellow,731,927,32972
138,triangle,blue,692,642,20667
138,pentagon,magenta,1334,658,36486
138,quadrilateral,bright_green,1310,867,26844
139,quadrilateral,red,255,293,30012
139,circle,yellow,769,939,33003
139,triangle,blue,693,641,21082
139,pentagon,magenta,1333,655,36230
139,quadrilateral,bright_green,1293,830,26521
140,quadrilateral,red,254,295,30109
140,circle,yellow,811,945,32979
140,triangle,blue,695,639,21023
140,pentagon,magenta,1332,652,36260
140,polygon,bright_green,1272,803,23053
141,quadrilateral,red,252,297,30085
141,circle,yellow,855,944,33000
141,triangle,blue,697,637,21018
141,pentagon,magenta,1331,650,36413
141,polygon,bright_green,1247,769,19722
142,quadrilateral,red,250,298,30094
142,circle,yellow,899,943,32964
142,triangle,blue,698,635,21006
142,pentagon,magenta,1329,648,36399
142,polygon,bright_green,1215,731,16629
143,quadrilateral,red,248,300,30074
143,circle,yellow,942,937,33015
143,triangle,blue,700,633,20960
143,pentagon,magenta,1328,644,36314
143,quadrilateral,bright_green,1181,686,14104
144,quadrilateral,red,246,302,30082
144,circle,yellow,982,927,33020
144,triangle,blue,702,631,20971
144,pentagon,magenta,1327,642,36331
144,pentagon,bright_green,1171,646,14882
145,quadrilateral,red,246,304,30002
145,circle,yellow,1021,915,32982
145,triangle,blue,703,629,20962
145,pentagon,magenta,1325,640,36351
145,pentagon,bright_green,1170,601,17668
146,quadrilateral,red,244,306,29932
146,circle,yellow,1059,902,33009
146,triangle,blue,705,627,20918
146,pentagon,magenta,1324,637,36373
146,polygon,bright_green,1170,561,21277
147,quadrilateral,red,242,308,30049
147,circle,yellow,1095,888,33016
147,triangle,blue,707,625,20934
147,pentagon,magenta,1322,634,36322
147,pentagon,bright_green,1167,528,24302
148,quadrilateral,red,241,310,29987
148,circle,yellow,1130,873,33022
148,triangle,blue,709,623,20966
148,pentagon,magenta,1321,632,36523
148,pentagon,bright_green,1161,494,26589
149,quadrilateral,red,239,312,30000
149,circle,yellow,1164,857,33006
149,triangle,blue,710,621,21022
149,pentagon,magenta,1319,628,36342
149,pentagon,bright_green,1149,459,27102
150,quadrilateral,red,239,314,30042
150,circle,yellow,1197,840,32996
150,triangle,blue,712,619,21039
150,pentagon,magenta,1317,626,36602
150,quadrilateral,bright_green,1138,421,26950
151,quadrilateral,red,237,316,29935
151,circle,yellow,1228,823,32925
151,triangle,blue,714,617,21028
151,pentagon,magenta,1316,623,36361
151,quadrilateral,bright_green,1129,382,26882
152,quadrilateral,red,237,318,29972
152,circle,yellow,1257,808,31522
152,triangle,blue,716,615,21044
152,pentagon,magenta,1314,620,36360
152,quadrilateral,bright_green,1119,345,26977
153,quadrilateral,red,236,320,29989
153,circle,yellow,1285,797,28908
153,triangle,blue,718,612,20691
153,pentagon,magenta,1312,617,36223
153,quadrilateral,bright_green,1111,307,27101
154,quadrilateral,red,235,322,29975
154,circle,yellow,1313,784,26027
154,triangle,blue,720,610,20725
154,pentagon,magenta,1311,614,36451
154,quadrilateral,bright_green,1101,269,26992
155,quadrilateral,red,234,325,30012
155,polygon,yellow,1342,768,23898
155,triangle,blue,722,608,20809
155,pentagon,magenta,1309,611,36174
155,quadrilateral,bright_green,1091,232,27102
156,quadrilateral,red,233,327,29991
156,polygon,yellow,1369,747,22769
156,triangle,blue,724,606,20881
156,pentagon,magenta,1307,608,36293
156,quadrilateral,bright_green,1080,195,27052
157,quadrilateral,red,232,329,30025
157,polygon,yellow,1397,722,22241
157,triangle,blue,726,603,20918
157,pentagon,magenta,1305,605,36241
157,quadrilateral,bright_green,1064,157,26856
158,quadrilateral,red,231,332,30031
158,polygon,yellow,1421,695,22706
158,triangle,blue,728,601,20999
158,circle,magenta,1304,602,36424
158,quadrilateral,bright_green,1060,191,26903
159,quadrilateral,red,230,334,30018
159,polygon,yellow,1443,667,23883
159,triangle,blue,730,599,21047
